Địa chỉ,Phường/Xã/Thị trấn,Quận/Huyện,Diện tích (m²),Mức giá (tỷ),Giá tiền (triệu/m²),Mặt tiền(m),Đường vào(m),Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
"Ngõ 173, Đường Hoàng Hoa Thám, Phường Ngọc Hà, Ba Đình, Hà Nội",Phường Ngọc Hà,Ba Đình,95,18,189.47,5,7,,,5,7,5,Đã có sổ đỏ,Đầy đủ
"Đường 6A, Thị trấn Chúc Sơn, Chương Mỹ, Hà Nội",Thị trấn Chúc Sơn,Chương Mỹ,35,2.37,67.71,,,,,4,3,3,Chưa sổ,
"Ngõ 466/65.2x., Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",Phường Đức Giang,Long Biên,42,4.2,98.82,4.8,,,,1,1,1,Đã có sổ đỏ,Cơ bản
"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,40,7.4,185,4,6,Đông - Bắc,Đông - Bắc,5,3,4,Đã có sổ đỏ,Cơ bản
"Đường Thụy Phương, Phường Thụy Phương, Bắc Từ Liêm, Hà Nội",Phường Thụy Phương,Bắc Từ Liêm,37,5,135.14,3.7,3,Tây,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Trần Khát Chân, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",Phường Thanh Nhàn,Hai Bà Trưng,35,5.6,160,3.6,,,,5,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Hoàng Tôn, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,62,12,193.55,5,6,,,,,,Đã có sổ đỏ,
"Hoàng Quốc Việt, Mai Dịch, Cầu Giấy, Hà Nội",Mai Dịch,Cầu Giấy,20,119,595,,,,,8,9,9,Đã có sổ đỏ,
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,94,32.3,343.62,5.1,9,,,4,5,6,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,42,13,309.52,42,5,Đông - Nam,Đông - Nam,5,6,5,Đã có sổ đỏ,Đầy đủ
"Đường Dịch Vọng, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,88,16.5,187.5,5.8,,,,7,,,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,86,18.5,215.12,,,,,5,,,Đã có sổ đỏ,Đầy đủ nội thất siêu xịn.
"Phố Láng Hạ, Phường Thành Công, Ba Đình, Hà Nội",Phường Thành Công,Ba Đình,61,11.5,188.52,,,,,7,,,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,41,5.35,130.49,3.6,2.5,,,4,4,3,Đã có sổ đỏ,Đầy đủ.
"Phố Nguyễn Đổng Chi, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,Nam Từ Liêm,55,14.2,258.18,,,,,,5,,Đã có sổ đỏ,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,40,6.2,155,3.8,2,Tây - Bắc,,4,4,4,Đã có sổ đỏ,Đầy đủ.
"Đường Hoa Bằng, Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,45,6.5,144.44,,,,,6,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,37,4.6,124.32,3.3,4,,,4,4,4,Đã có sổ đỏ,Đầy đủ.
"Trần phú , Hà Đông",Trần phú,Trần phú,40,7.15,178.75,,,,,4,1,,Đã có sổ đỏ,Đầy đủ
"Phan Đình Giót , Hà Đông",Phan Đình Giót,Phan Đình Giót,40,6.75,168.75,5,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,1,230,185.78,40,,,,,,,Chưa sổ,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,43,5.6,130.23,4.3,3,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Thanh Bình , Hà Đông",Thanh Bình,Thanh Bình,77,4.45,57.79,,,Đông - Nam,,,,,Đã có sổ đỏ,Đầy đủ
"Xã Song Phương, Hoài Đức, Hà Nội",Xã Song Phương,Hoài Đức,43,3.2,74.42,,3.5,,,4,4,3,Chưa sổ,
"Phường Biên Giang, Hà Đông, Hà Nội",Phường Biên Giang,Hà Đông,32,2.65,82.81,,,,,5,4,4,Chưa sổ,
"Đường Phú Vinh, Xã An Khánh, Hoài Đức, Hà Nội",Xã An Khánh,Hoài Đức,43,4.8,111.63,4,3,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Phố Xốm, Phường Phú Lãm, Hà Đông, Hà Nội",Phường Phú Lãm,Hà Đông,33,4.9,148.49,3.5,3,Bắc,,4,3,3,Đã có sổ đỏ,Cơ bản
"Đường Hà Trì, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,55,13.65,248.18,4,13.5,,,5,4,3,Đã có sổ đỏ,Đầy đủ
"Phường Sài Đồng, Long Biên, Hà Nội",Phường Sài Đồng,Long Biên,35,4.75,135.71,5,3,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Yên Phúc, Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,83,19.5,234.94,4.5,10,,,4,4,4,Đã có sổ đỏ,Cơ bản
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,42,4.75,113.1,4.6,2.5,Đông - Nam,Đông - Nam,4,4,3,Đã có sổ đỏ,Đầy đủ.
"Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội",Phường Phương Mai,Đống Đa,88,27.9,317.04,6,4,,,5,5,5,Đã có sổ đỏ,
"Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,55,11.8,214.54,,,,,6,3,4,Đã có sổ đỏ,Đầy đủ.
"Đường Văn Cao, Phường Liễu Giai, Ba Đình, Hà Nội",Phường Liễu Giai,Ba Đình,60,12.9,215,,,,,7,1,,Chưa sổ,
"Ngõ 355, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Phường Xuân Đỉnh,Bắc Từ Liêm,43,6.8,158.14,,3,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,50,9.75,195,8,,,,7,1,,Chưa sổ,
"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",Phường Bưởi,Tây Hồ,10,20,200,20,2.5,,,3,3,3,Chưa sổ,
"Đường Phạm Văn Nghị, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 2,Bắc Từ Liêm,45,6.5,144.44,,,,,4,,,Chưa sổ,
"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",Phường Bạch Mai,Hai Bà Trưng,31,5.65,182.26,4,2,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",Phường Bạch Mai,Hai Bà Trưng,31,5.65,182.26,4,2,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Ngô Quyền, Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,32,6.35,198.44,3.5,3,,,5,3,4,Đã có sổ đỏ,
"Đường Tây Sơn, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,70,7.45,106.43,,,,,4,,,Chưa sổ,
"Đường Tây Sơn, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,25,3.45,138,,,,,4,,,Chưa sổ,
"Phố Ngọc Khánh, Phường Kim Mã, Ba Đình, Hà Nội",Phường Kim Mã,Ba Đình,60,12.6,210,4.5,3,,,5,9,,Đã có sổ đỏ,Đầy đủ nội thất.
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,32,7.5,234.38,5,2,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Ngõ 339, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,Hai Bà Trưng,32,5.2,162.5,3.5,2.3,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường An Dương, Phường Yên Phụ, Tây Hồ, Hà Nội",Phường Yên Phụ,Tây Hồ,40,12.5,312.5,,6,,,6,3,5,Đã có sổ đỏ,Đầy đủ
"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",Phường Tương Mai,Hoàng Mai,48,11.1,231.25,,,,,6,1,1,Đã có sổ đỏ,Đầy đủ.
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",Phường Tân Mai,Hoàng Mai,90,,,7.8,2,,,2,2,2,Đã có sổ đỏ,Không nội thất
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,64,19.5,304.69,4,,,,5,5,5,Đã có sổ đỏ,
"Đường Yên Bình, Xã Yên Bình, Huyện Thạch Thất, Hà Nội",Xã Yên Bình,Huyện Thạch Thất,12,,,5,10,,,2,,,Đã có sổ đỏ,
"Phường Việt Hưng, Long Biên, Hà Nội",Phường Việt Hưng,Long Biên,64,7.9,123.44,5.2,,,,5,6,,Chưa sổ,
"Đường Nguyễn Khánh Toàn, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,54,14.48,268.15,4,6,,,7,4,5,Đã có sổ đỏ,Đầy đủ
"Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,75,32,426.67,,,,,9,,,Đã có sổ đỏ,
"Ngõ 168, Đường Nguyễn Xiển, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",Phường Thanh Xuân Nam,Thanh Xuân,50,22.5,450,,,,,5,,,Đã có sổ đỏ,Đầy đủ.
"Phường Việt Hưng, Long Biên, Hà Nội",Phường Việt Hưng,Long Biên,56,6.3,112.5,5.1,,Đông,,,,,Chưa sổ,
"Phố Khương Hạ, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,40,7.7,192.5,4.2,2.5,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Hà Trì 1, Phường Hà Cầu, Hà Đông, Hà Nội",Phường Hà Cầu,Hà Đông,35,6.5,185.71,4.22,3,,,5,3,4,Đã có sổ đỏ,Cơ bản
"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",Phường Bạch Mai,Hai Bà Trưng,80,13,162.5,,,,,5,8,9,Đã có sổ đỏ,Đầy đủ
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",Phường Hàng Bột,Đống Đa,30,6.8,226.67,2.8,4,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Lĩnh Nam, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",Phường Vĩnh Hưng,Hoàng Mai,30,,,,,,,,,,Chưa sổ,
"Ngõ 79, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,48,8.5,177.08,3.7,3,,,5,6,4,Đã có sổ đỏ,Đầy đủ
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",Phường Mai Dịch,Cầu Giấy,38,5.65,148.68,,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Đền Lừ, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Phường Hoàng Văn Thụ,Hoàng Mai,50,16.9,338,4.4,10,,,6,4,4,Đã có sổ đỏ,
"Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội",Phường Khâm Thiên,Đống Đa,45,23.8,528.89,7,10,,,6,5,5,Đã có sổ đỏ,Cơ bản
"Phố Quỳnh Mai, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội",Phường Quỳnh Mai,Hai Bà Trưng,60,9.5,158.33,,,,,4,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,54,11.49,212.78,4.5,,,,4,5,3,Đã có sổ đỏ,
"Đường Đê La Thành, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",Phường Ô Chợ Dừa,Đống Đa,52,8.5,163.46,,,,,5,7,4,Đã có sổ đỏ,
"Đường Thúy Lĩnh, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",Phường Lĩnh Nam,Hoàng Mai,32,1.2,37.5,4.84,15,,,1,2,1,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,55,14.5,263.64,,,,,6,5,5,Chưa sổ,
"Đường Lê Lợi, Phường Nguyễn Trãi, Hà Đông, Hà Nội",Phường Nguyễn Trãi,Hà Đông,32,7.5,234.38,3.5,3,Đông - Nam,,5,3,4,Đã có sổ đỏ,
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,50,18.6,372,5.5,,,,7,,,Đã có sổ đỏ,
"Ngõ 89, Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,50,18.8,376,5,6,Tây - Bắc,Tây - Bắc,6,3,5,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Thị Định, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,42,10,238.1,4,,,,4,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Lê Quang Đạo, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,50,9.5,190,4,5,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Sơn, Phường Gia Thụy, Long Biên, Hà Nội",Phường Gia Thụy,Long Biên,50,11.6,232,,,,,5,4,,Đã có sổ đỏ,Full nội thất đẹp.
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",Phường Thanh Xuân Nam,Thanh Xuân,56,13.2,235.71,4,7,,,4,4,3,Đã có sổ đỏ,
"Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",Phường Mỗ Lao,Hà Đông,36,6.6,183.33,,,,,5,3,,Đã có sổ đỏ,Đầy đủ
"Biên Giang, Hà Đông, Hà Nội",Biên Giang,Hà Đông,35,3.5,100,,,,,4,,,Đã có sổ đỏ,Đầy đủ
"Đường Vĩnh Quỳnh, Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",Xã Vĩnh Quỳnh,Thanh Trì,53,6.2,116.98,4.2,,,,4,4,4,Đã có sổ đỏ,
"Ngõ 272, Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,46,10.75,233.7,,,,,5,4,3,Đã có sổ đỏ,
"Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,40,9.85,246.25,,,,,5,2,,Đã có sổ đỏ,Đầy đủ
"Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,57,8.5,149.12,4.5,,,,,,,Đã có sổ đỏ,
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",Phường Phú Đô,Nam Từ Liêm,43,7.65,177.91,,,,,5,9,,Đã có sổ đỏ,Đầy đủ
"Đường Quang Trung , Hà Đông",Phường Quang Trung,Hà Đông,46,10.85,235.87,,,Đông - Nam,,5,,,Đã có sổ đỏ,Đầy đủ
"Yên Bình , Văn Quán , Hà Đông",Yên Bình,Văn Quán,40,7.85,196.25,4,,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Quan Hoa, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,42,7.45,177.38,,,,,4,,,Đã có sổ đỏ,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,45,9.5,211.11,4,5,,,6,4,5,Đã có sổ đỏ,Cơ bản.
"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Ba Đình, Hà Nội",Phường Ngọc Hà,Ba Đình,45,15.5,344.44,5,13,,,6,4,5,Đã có sổ đỏ,Đầy đủ
"Đường Mễ Trì Thượng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Phường Mễ Trì,Nam Từ Liêm,68,19.5,286.76,,,,,8,1,2,Đã có sổ đỏ,Đầy đủ
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,49,,,,,,,6,6,,Đã có sổ đỏ,Đầy đủ.
"Ngõ 62, Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,52,18,346.15,5,,Đông - Nam,Đông - Nam,6,5,6,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội",Phường Vĩnh Phúc,Ba Đình,45,15.5,344.44,5,13,,,6,4,5,Đã có sổ đỏ,Đầy đủ
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,55,23.5,427.27,,10,,,4,,,Đã có sổ đỏ,
"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội",Phường Vĩnh Phúc,Ba Đình,45,15.5,344.44,5,,,,6,4,5,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,46,9.1,197.83,41,55,,,6,4,5,Đã có sổ đỏ,Cơ bản
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",Phường Đội Cấn,Ba Đình,36,7.35,204.17,4,,,,,,,Chưa sổ,
"Đường Phúc Xá, Phường Phúc Xá, Ba Đình, Hà Nội",Phường Phúc Xá,Ba Đình,30,4.1,136.67,3.8,25,Đông - Nam,Đông - Nam,4,2,3,Đã có sổ đỏ,Đầy đủ
"Đường Vân Trì, Xã Vân Nội, Đông Anh, Hà Nội",Xã Vân Nội,Đông Anh,20,14,69.31,16,8,,,3,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Vân Trì, Xã Vân Nội, Đông Anh, Hà Nội",Xã Vân Nội,Đông Anh,20,14,69.31,16,8,,,3,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Âu Cơ, Phường Quảng An, Tây Hồ, Hà Nội",Phường Quảng An,Tây Hồ,42,3.4,80.95,5.8,8,Nam,Nam,3,3,3,Đã có sổ đỏ,Đầy đủ
"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,62,14.2,229.03,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Ngõ 84, Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,10,12.5,125,6.5,,,,3,,,Chưa sổ,Nội thất xịn.
"Đường Bưởi, Phường Ngọc Khánh, Ba Đình, Hà Nội",Phường Ngọc Khánh,Ba Đình,76,14.2,186.84,4.7,,,,4,,,Đã có sổ đỏ,
"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,20,68,340,10,8,,,9,4,4,Đã có sổ đỏ,Đầy đủ
"Phố Lê Thanh Nghị, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",Phường Bách Khoa,Hai Bà Trưng,70,28,400,6.2,10,,,7,8,8,Đã có sổ đỏ,Đầy đủ
"Hoàng Văn Thái, Khương Mai, Thanh Xuân, Hà Nội",Khương Mai,Thanh Xuân,43,2.8,65.12,5.7,,,,,,,Đã có sổ đỏ,
"109. X. 4, Đường Nguyễn Sơn, Phường Gia Thụy, Long Biên, Hà Nội",Phường Gia Thụy,Long Biên,50,11.6,232,3.6,,,,5,4,3,Đã có sổ đỏ,Đã lắp full nội thất An Cường.
"Đường Tây Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",Phường Tây Mỗ,Nam Từ Liêm,30,4.55,151.67,3.5,2,Bắc,Bắc,5,3,4,Đã có sổ đỏ,Nội thất cơ bản.
"Đường Tam Trinh, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Phường Hoàng Văn Thụ,Hoàng Mai,65,20,307.69,5.1,,,,5,5,6,Đã có sổ đỏ,Đầy đủ.
"Phường Yên Nghĩa, Hà Đông, Hà Nội",Phường Yên Nghĩa,Hà Đông,33,5.95,180.3,3.5,5,,,5,4,4,Đã có sổ đỏ,Cơ bản
"An Trai, Đường ĐT 422, Xã Vân Canh, Hoài Đức, Hà Nội",Xã Vân Canh,Hoài Đức,34,4,117.65,3.6,2.5,Đông - Bắc,,4,4,4,Chưa sổ,
"Khu đô thị Mỹ Đình II, Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Mỹ Đình 2,Nam Từ Liêm,11,23.8,,,,,,,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",Phường Đại Mỗ,Nam Từ Liêm,35,4.95,141.43,4,25,,,5,4,4,Đã có sổ đỏ,
"Đường Bằng A, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Phường Hoàng Liệt,Hoàng Mai,40,4.5,112.5,38,25,,,4,4,4,Đã có sổ đỏ,Cơ bản
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",Phường Phú Đô,Nam Từ Liêm,61,10.4,170.49,4.6,4,,,4,,,Đã có sổ đỏ,
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,38,7.9,207.9,3.4,,,,5,5,3,Đã có sổ đỏ,
"Đường Phú Minh, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",Phường Minh Khai,Bắc Từ Liêm,32,4.95,154.69,4,,Nam,Đông,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",Xã Thanh Liệt,Thanh Trì,28,3.7,132.14,3.6,2,Đông - Bắc,Đông - Bắc,5,3,4,Chưa sổ,Đầy đủ
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",Xã Thanh Liệt,Thanh Trì,28,3.7,132.14,3.6,2,Đông - Bắc,Đông - Bắc,5,3,4,Chưa sổ,Đầy đủ
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Phường Thanh Xuân Trung,Thanh Xuân,45,8.75,191.05,3.9,4.5,,,3,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",Phường Quang Trung,Hà Đông,70,11.8,168.57,6,100,Đông,Đông,,5,3,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Đức Cảnh, Phường Tân Mai, Hoàng Mai, Hà Nội",Phường Tân Mai,Hoàng Mai,60,6.9,115,,,,,,,,Chưa sổ,
"Đường Ngọc Trục, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",Phường Đại Mỗ,Nam Từ Liêm,33,5.5,166.67,3.2,2,Tây - Bắc,Tây - Bắc,5,3,4,Chưa sổ,
"Đông La, Hoài Đức, Hà Nội",Đông La,Hoài Đức,36,6.9,191.67,,9,,,5,3,4,Đã có sổ đỏ,Cơ bản
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",Phường Trương Định,Hai Bà Trưng,80,16.3,203.75,,,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Xa La, Phúc La, Hà Đông, Hà Nội",Phúc La,Hà Đông,50,17,340,5,12,,,7,4,5,Đã có sổ đỏ,
"Phố Thể Giao, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",Phường Lê Đại Hành,Hai Bà Trưng,46,15.9,345.65,,,,,6,3,5,Đã có sổ đỏ,Đầy đủ
"651, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,18,3.6,200,4.9,2,Bắc,,4,2,3,Đã có sổ đỏ,
"Ngõ 120, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,Hai Bà Trưng,25,3.87,154.8,3,,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,40,7.3,182.5,,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,45,9,200,4,55,,,6,4,5,Đã có sổ đỏ,Cơ bản
"Ngõ 279, Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",Phường Đội Cấn,Ba Đình,30,7.25,241.67,3.8,3,,,5,3,3,Đã có sổ đỏ,Đầy đủ
"Phường Phương Liệt, Thanh Xuân, Hà Nội",Phường Phương Liệt,Thanh Xuân,70,13.4,191.43,,,,,5,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Yên Bệ, Xã Kim Chung, Hoài Đức, Hà Nội",Xã Kim Chung,Hoài Đức,30,4,133.33,4,30,Tây,Tây,4,3,4,Đã có sổ đỏ,Cơ bản
"Phường Dương Nội, Hà Đông, Hà Nội",Phường Dương Nội,Hà Đông,35,5,142.86,,,,,1,1,1,Đã có sổ đỏ,
"Đường Ngũ Hiệp, Xã Ngũ Hiệp, Thanh Trì, Hà Nội",Xã Ngũ Hiệp,Thanh Trì,42,4.2,100,,,,,4,4,4,Đã có sổ đỏ,
"Phường Yên Nghĩa, Hà Đông, Hà Nội",Phường Yên Nghĩa,Hà Đông,50,3.65,73,3.5,4.5,Đông - Nam,Tây - Bắc,4,3,3,Đã có sổ đỏ,Cơ bản
"Đường Thanh Nhàn, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",Phường Thanh Nhàn,Hai Bà Trưng,75,25.5,340,67,,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Phường Mai Động, Hoàng Mai, Hà Nội",Phường Mai Động,Hoàng Mai,34,,,65,,,,4,4,,Đã có sổ đỏ,Đầy đủ
